scenario,CAPEX,spec_heat_tot,spec_power_tot,CO2_captured,OPEX_bd.Fixed,OPEX_bd.Electricity,OPEX_bd.Makeup-water,OPEX_bd.Adsorbent,OPEX_bd.Sink,OPEX_bd.npv_CO2_to_sink,power_bd.capture_unit,power_bd.VacuumPump,power_bd.FanVaneAxial,power_bd.IntercooledCondensingCompressor,power_bd.SteamGenerationSystem,power_bd.WaterCoolingGenerationSystem,electricity-input,heat-input,compression-electricity-input,FOM,investment,RH,T_feed
DAC_pypsa_AL_heatpump_80_year_mean,27.97601436097596,7.537744115770087,0.9234352755122184,4705.8823529411775,17549944.90529688,23080495.319472007,1896281.2578152334,18594759.41959615,0.0,423760569.82064635,0.0,0.027762983589476913,0.012847429668218821,1.166494522052394,2.28815789440219,0.08348691289737972,0.5126042343684188,2.093817809936135,0.24788008593613367,3.1366056434717673,6.509668841619592,66.29621,15.232051
DAC_pypsa_AL_heatpump_80_winter_mean,27.311858221780845,7.62566199994286,0.921065942154501,4705.882352941176,17233321.323302284,23241221.366063524,1916073.545292734,18061497.934633054,0.0,423760569.8206461,0.0,0.02571437393829645,0.012776078873322685,1.165517314710604,2.3148462507113656,0.0848171261877892,0.5181076888135396,2.118239444428572,0.2476724293760034,3.1549155651296803,6.355128009980631,73.353645,7.329428
DAC_pypsa_AL_heatpump_80_summer_mean,29.104119059463468,8.382107104645536,0.9282349138723812,4705.882352941177,18087746.981376354,24772288.633793086,1900816.8542178057,19443685.15340803,0.0,423760569.8206462,0.0,0.03229678449743342,0.012502670566214406,1.1685795173185498,2.5444727558597813,0.08321928626288908,0.5679044431520927,2.32836308462376,0.24832314743019182,3.107420455575507,6.772164703648905,57.064053,24.978403
DAC_pypsa_AT_heatpump_80_winter_mean,26.79913375368144,7.66799780561918,0.9202067656640028,4705.8823529411775,16988889.85894414,23308353.535570752,1877549.9503328376,17657920.69416593,0.0,423760569.82064635,0.0,0.02499450078440905,0.012715350453666003,1.1651748097606216,2.327697709514734,0.0834979627498422,0.5203924237443134,2.1299993904497723,0.24759964707413207,3.1696714556324697,6.235823435309748,75.95057,0.66580576
DAC_pypsa_AT_heatpump_80_year_mean,27.469325384685646,7.626964707783976,0.9214482948538838,4705.882352941177,17308390.744817935,23249750.141741347,1927641.3861037078,18184982.45815957,0.0,423760569.8206462,0.0,0.02603643812950266,0.012804887434217553,1.1656662494086771,2.315241700753841,0.08524429931629121,0.5183570566971936,2.118601307717771,0.24770407799934388,3.1504943245653005,6.391768650449041,72.50735,9.237211
DAC_pypsa_AT_heatpump_80_summer_mean,28.38692440157472,7.982964145336602,0.924061831621286,4705.882352941177,17745838.31236468,23986374.465634193,2001433.0990789745,18880040.015736185,0.0,423760569.8206462,0.0,0.02846462467705299,0.012686965135803837,1.1667723730907849,2.4233089037429356,0.08797810594493341,0.5423932023939042,2.2174900403712785,0.2479391292817918,3.125706409987173,6.605282471691417,67.8332,18.76246
DAC_pypsa_BA_heatpump_80_summer_mean,29.104119059463468,8.382107104645536,0.9282349138723812,4705.882352941177,18087746.981376354,24772288.633793086,1900816.8542178057,19443685.15340803,0.0,423760569.8206462,0.0,0.03229678449743342,0.012502670566214406,1.1685795173185498,2.5444727558597813,0.08321928626288908,0.5679044431520927,2.32836308462376,0.24832314743019182,3.107420455575507,6.772164703648905,57.064053,24.978403
DAC_pypsa_BA_heatpump_80_year_mean,27.97601436097596,7.537744115770087,0.9234352755122184,4705.8823529411775,17549944.90529688,23080495.319472007,1896281.2578152334,18594759.41959615,0.0,423760569.82064635,0.0,0.027762983589476913,0.012847429668218821,1.166494522052394,2.28815789440219,0.08348691289737972,0.5126042343684188,2.093817809936135,0.24788008593613367,3.1366056434717673,6.509668841619592,66.29621,15.232051
DAC_pypsa_BA_heatpump_80_winter_mean,27.311858221780845,7.62566199994286,0.921065942154501,4705.882352941176,17233321.323302284,23241221.366063524,1916073.545292734,18061497.934633054,0.0,423760569.8206461,0.0,0.02571437393829645,0.012776078873322685,1.165517314710604,2.3148462507113656,0.0848171261877892,0.5181076888135396,2.118239444428572,0.2476724293760034,3.1549155651296803,6.355128009980631,73.353645,7.329428
DAC_pypsa_BE_heatpump_80_winter_mean,27.336393703631664,8.209549640746168,0.9194712749220528,4705.882352941177,17245018.139293447,24447019.293695,2182412.949972588,17997823.593748845,0.0,423760569.8206462,0.0,0.024708741709333897,0.012294197958749161,1.164920295524143,2.4920912054655067,0.09662188641766947,0.5579646567046426,2.2804304557628243,0.24754556279888038,3.154223327015229,6.360837109913792,84.857025,5.5681863
DAC_pypsa_BE_heatpump_80_summer_mean,28.3652033049514,8.030115213028035,0.9236521015687852,4705.882352941176,17735483.200047176,24086392.181719575,2041632.6229781595,18852012.794582553,0.0,423760569.8206461,0.0,0.028136779100388754,0.012647833046241393,1.1666037559171412,2.4376220836692637,0.08970878317011657,0.5457245392845274,2.230587559174454,0.24790329813239254,3.1262746487967688,6.6002282440208795,69.78878,18.405334
DAC_pypsa_BE_heatpump_80_year_mean,27.772668746232213,7.952579175207163,0.9211851431743602,4705.882352941177,17453003.820025753,23932985.115661252,2100996.3399628163,18375354.61134095,0.0,423760569.8206462,0.0,0.026004369982380638,0.01258165118773034,1.1655775646787259,2.4140852410389453,0.09268385185305193,0.540887961738198,2.2090497708908785,0.24768523249422925,3.1421186021947425,6.462352858888908,77.58438,11.802181
DAC_pypsa_BG_heatpump_80_year_mean,27.87286528247916,7.611268752082813,0.9227128746934108,4705.882352941176,17500770.578981567,23231249.955536332,1940676.6549079213,18504153.923548475,0.0,423760569.8206461,0.0,0.02715960417212413,0.012809728205596525,1.1661912881365417,2.310477035836035,0.08548736948204132,0.517635919260357,2.1142413200230035,0.24781564872901513,3.139392093639997,6.485667340416871,69.303986,13.9526
DAC_pypsa_BG_heatpump_80_summer_mean,29.019679112401,8.458630812667383,0.9265604448812164,4705.8823529411775,18047491.871283177,24939949.09375639,2013619.4857720481,19348701.224373728,0.0,423760569.82064635,0.0,0.030838864912786524,0.012483153291751514,1.1678681058231961,2.5677022956172784,0.08817521320076507,0.5735798994922985,2.349619670185384,0.24817197248742912,3.1095264357301127,6.752516583466806,63.075184,24.148666
DAC_pypsa_BG_heatpump_80_winter_mean,27.166305859603348,7.774489189621411,0.9203188238551032,4705.8823529411775,17163932.05237532,23542980.834810477,1973292.4544831882,17927337.53871717,0.0,423760569.82064635,0.0,0.025177893501809157,0.012620646742095941,1.1652326020503478,2.360024238148245,0.08740512469927686,0.528110929406928,2.159580330450392,0.2476119279356989,3.1590478552879566,6.321259794706452,77.21555,5.0279307
DAC_pypsa_CH_heatpump_80_year_mean,27.503201114599623,7.554329013469333,0.9217810682539352,4705.882352941177,17324540.343255803,34512312.26780894,1894242.8052390134,18218051.770407148,0.0,423760569.8206462,0.0,0.026283434510389694,0.01286035165817754,1.1657987867123938,2.293192406587206,0.08374311742390891,0.5134168534131826,2.0984247259637034,0.24773224217638368,3.14954980532418,6.3996511093534,70.64994,9.795798
DAC_pypsa_CH_heatpump_80_summer_mean,28.34959292024928,7.832478637773116,0.9246228016981304,4705.882352941176,17728041.251341127,35368643.56120378,1921138.0570628652,18875470.835479476,0.0,423760569.8206461,0.0,0.028890119306211413,0.0127632111438621,1.1670039266716652,2.377627517264969,0.08446810666044904,0.5320466528047921,2.1756885104925323,0.2479883344177289,3.1266835649478604,6.596595902630504,64.392784,18.701414
DAC_pypsa_CH_heatpump_80_winter_mean,26.86113550775637,7.624694207252502,0.9203932805178864,4705.882352941177,17018447.994910397,34693143.36505151,1866704.2117578909,17710447.07983927,0.0,423760569.8206462,0.0,0.025108947188930697,0.012781043431033255,1.165238480645247,2.314552467524967,0.08296480662755965,0.5175240437641543,2.117970613125695,0.24761317713711498,3.1678571425240345,6.25025046846106,74.929634,1.6146884
