name,total,urban,rural,ct,fraction
AL0 0,2640.7688761853033,1664.1306466241049,1037.6802928181778,AL,1.0
AT0 0,9057.720782327759,5183.77603310035,3717.448579918399,AT,1.0
BA0 0,3337.1417460705825,1670.4122558426152,1684.6363249180545,BA,1.0
BE0 0,3825.4271759584167,3503.049732592761,330.2581515788445,BE,0.3280782310897064
BE0 1,7834.679510341139,7461.534142365738,195.36192569928775,BE,0.6719217689102935
BG0 0,6613.388134118318,4967.26547323709,1611.7176278504994,BG,1.0
CH0 0,8093.095469986073,6792.884384348066,1752.4534679238575,CH,1.0
CZ0 0,10611.709179922405,7820.236926457357,2852.399687865529,CZ,1.0
DE0 0,5839.275865930542,4055.8910643988843,1614.2346615996855,DE,0.07091439080014802
DE0 1,8087.059114797369,7788.060951925299,387.5269299367803,DE,0.09821232694907951
DE0 10,15525.635843238595,15364.420744601968,361.0586776454451,DE,0.18854923673532498
DE0 11,6540.906127254711,4230.155779010846,2296.3571252851957,DE,0.07943525600520768
DE0 12,4308.693926341285,2530.1925351650334,1818.1330162776953,DE,0.05232642059497872
DE0 2,3088.6308184972822,2153.9287172637733,974.4338279676826,DE,0.037509509385954175
DE0 3,4907.319293673591,2795.8666903669255,2150.84593121126,DE,0.05959635512394456
DE0 4,3012.2874316569173,1338.605595661619,1702.0887068621007,DE,0.036582366210377935
DE0 5,5268.517780068666,3390.194451747963,1926.7750242960149,DE,0.06398288715441242
DE0 6,6793.487622140209,5052.821185811685,1719.6852950819443,DE,0.08250270190919416
DE0 7,5281.028595367257,3508.8338322691893,1820.495659095714,DE,0.06413482326184813
DE0 8,8240.373949508388,7919.455461027114,396.7140404492467,DE,0.10007424071266649
DE0 9,5449.391387782646,4495.37417790335,1002.7542433277041,DE,0.06617948515686316
DK0 0,2605.4452955447578,2948.3017060491716,277.3102142428598,DK,0.6337803941316297
DK1 0,1505.5138311012986,1445.6664512121447,100.75621918184842,DK,0.36621960586837027
EE0 0,1152.9725526576744,866.9120186770477,359.08123602144695,EE,1.0
ES0 0,8232.752744338877,7082.586779870228,1468.9910884242263,ES,0.1943036420984734
ES0 1,4991.171347268085,4071.530688597256,1089.7668485369654,ES,0.11779811701239332
ES0 2,7618.851374931755,7009.688856826705,819.0902570327868,ES,0.17981477359127
ES0 3,9821.062534933755,7662.879167692327,2718.4833465619986,ES,0.23178981308854257
ES0 4,7095.005701067374,6471.554037856458,745.807039511266,ES,0.16745133629511538
ES0 5,3919.4559385890616,2482.4370305592174,1458.898737683952,ES,0.09250424342405072
ES6 0,692.2532493130783,489.00665078126485,42.70083378598905,ES,0.016338074490154644
FI1 0,5117.944482012881,4546.893634188378,754.7897830707893,FI,1.0
FR0 0,7055.9243932674035,6041.240138094531,1182.1193174652572,FR,0.11059239290491425
FR0 1,14892.659811293848,14957.479117298,217.63424790844772,FR,0.23342297811770463
FR0 10,4254.759300617681,2610.795956981107,1632.3589972092407,FR,0.06668779114735565
FR0 11,3765.713301019491,3170.0451966588503,507.2963097570896,FR,0.05902263427751363
FR0 12,4963.783042798806,4835.529068280634,104.82253100253362,FR,0.0778008116254417
FR0 2,3954.567541601411,2705.6044858462237,1282.986378361119,FR,0.061982677669719426
FR0 3,3444.013171989285,2790.3797341988416,573.51403482618,FR,0.053980405210941225
FR0 4,5268.325578499125,4389.529585544786,1002.6180068043557,FR,0.08257411784121768
FR0 5,3614.2890067311023,2483.1789373660386,1167.9601355517414,FR,0.05664925637322799
FR0 6,3924.616243798934,3640.038612080494,134.70308413456564,FR,0.06151323022244459
FR0 7,2527.905350591224,785.6056841390019,1795.9784504962413,FR,0.03962161244609933
FR0 8,3228.5404782657665,2498.78161261142,715.8967178350046,FR,0.050603152355555
FR0 9,2641.8152605061437,921.1245131406954,1778.1150945084669,FR,0.04140700140592074
FR5 0,264.2605285773691,0.0,235.78441092356434,FR,0.0041419384019441485
GB2 0,20026.22720117744,19745.433077025602,1132.09434248665,GB,0.32270329817898635
GB2 1,7920.962141840095,7029.615505485646,1073.1210262133234,GB,0.12763865016833523
GB2 2,738.6389563512137,0.0,725.2814561804994,GB,0.011902452967476898
GB2 3,8664.346917143075,9049.928409649243,253.33711780718235,GB,0.1396175774219026
GB2 4,4952.36793846363,2461.633425675785,2205.7506800110673,GB,0.07980262340397885
GB2 5,4562.791857557477,2812.096143376112,1863.4129693422215,GB,0.0735249813430385
GB2 6,5404.279095209463,5118.270950383253,414.64366135940486,GB,0.08708473497201234
GB2 7,8149.3160692851525,7416.945053586695,1061.7151470814288,GB,0.1313183530299063
GB3 0,1638.7782944549988,598.153816667803,1053.4560265458633,GB,0.026407328514362862
GR0 0,8109.238503328877,7445.957794361439,1660.3745947591806,GR,1.0
HR0 0,3732.5221978742557,2213.7237443052763,1574.5540791862911,HR,1.0
HU0 0,9646.87479931699,6840.454527236069,2834.840612561715,HU,1.0
IE3 0,4454.660737132961,3072.063797887072,1598.74678736627,IE,1.0
IT0 0,4371.663613115989,2297.793736934759,2037.5659246627952,IT,0.08110696881100446
IT0 1,5756.312018313282,4115.393266506447,2046.6781616826281,IT,0.10679619034159166
IT0 2,6610.811947189099,4298.397728144058,2265.1862500586417,IT,0.1226496285778738
IT0 3,4568.582850706408,3368.345449434389,1226.9550446330152,IT,0.08476038862437131
IT0 4,4286.043804312473,2680.252630393711,1965.441804071577,IT,0.07951847441235121
IT0 5,11206.007415994289,10992.678198800173,1298.4617265727481,IT,0.2079037580243068
IT0 6,8633.302437140737,6001.879220953382,3161.4904535857086,IT,0.160172660449976
IT0 7,7130.910154568723,7123.92296486942,617.8829365510966,IT,0.13229895039624018
IT4 0,1336.3410283900703,295.6467707638225,1019.8041887646682,IT,0.024792980362284642
LT0 0,2644.3086458748576,1890.5543259459175,850.0747092754722,LT,1.0
LU0 0,519.2812526810199,541.135684764753,48.91254997573151,LU,1.0
LV0 0,1709.4798927450026,1184.3279665287791,574.5208598894745,LV,1.0
ME0 0,623.5745802077789,397.94657549881583,214.7695035327663,ME,1.0
MK0 0,2025.0952182052358,1252.393946469363,839.1073577710517,MK,1.0
NL0 0,7822.707699666952,7720.868070456877,233.15985763027814,NL,0.5117908382300305
NL0 1,7462.2624782301045,7486.433674149848,672.3308096467493,NL,0.4882091617699696
NO1 0,220.84627820060672,0.0,220.4009224784363,NO,0.04460014118640445
NO1 1,4178.549274027371,3920.637891215195,390.50947669014636,NO,0.843862477984275
NO1 2,552.2990461722566,333.6026584839285,229.96268240832046,NO,0.11153738082932059
PL0 0,13120.350535706795,10397.79132555781,2997.29152131193,PL,0.36021904616939915
PL0 1,11494.652033680617,5780.592262855698,5744.674970490773,PL,0.3155855158254369
PL0 2,11808.253433396863,5996.729007235348,5941.988866338077,PL,0.32419543800516387
